"Dates","AAPL","AMZN","ABT","ADBE","AMGN","AEP","AFL","AIG","ALL","APD","ADM","AKAM"
"29-03-2016",107.68,593.86,41.47,93.22,149.49,66.03,31.59,53.39,67.16,134.0809,36.87,55.26
"30-03-2016",109.56,598.69,41.65,93.78,149.48,66.02,31.865,54.52,67.72,134.2843,36.62,55.1
"31-03-2016",108.99,593.64,41.83,93.8,149.93,66.4,31.57,54.05,67.37,133.1749,36.31,55.57
"01-04-2016",109.99,598.5,42.19,95.16,154.16,67.01,32.06,54.89,68.23,134.3397,36.47,55.22
"04-04-2016",111.12,593.19,42.32,94.5,154.66,66.58,31.795,54.4,67.64,131.9268,36.04,55.33
"05-04-2016",109.81,586.14,42.04,94.17,152.95,65.4,31.86,53.68,66.7,131.9268,35.11,53.14
"06-04-2016",110.96,602.08,43.05,95.4,159.66,65.63,31.83,54.11,67.03,132.8421,35.54,54.78
"07-04-2016",108.54,591.43,42.61,93.78,157.38,65.5,31.5,53.11,66.28,131.141,35.72,53.28
"08-04-2016",108.66,594.6,42.37,94.07,156.46,66.01,31.955,53.16,66.84,131.7604,36.09,52.38
"11-04-2016",109.02,595.93,42.48,92.95,156.39,65.68,32.02,53.41,66.79,132.537,36,51.06
"12-04-2016",110.44,603.17,42.82,93.42,158.6,66.31,32.765,53.79,67.21,133.3413,36.83,50.54
"13-04-2016",112.04,614.82,43.35,94.53,160.06,65.79,33.225,55.14,67.53,133.4984,37.14,51.79
"14-04-2016",112.1,620.75,43.51,94.44,160.12,65.59,33.485,55.26,66.67,134.1271,36.59,51.67
"15-04-2016",109.85,625.89,43.41,95.16,160.13,66.05,33.44,54.95,66.6,134.0809,37.3,50.93
"18-04-2016",107.48,635.35,43.95,96.55,161.7,66.24,33.605,55.28,67.3,135.4122,37.71,51.75
"19-04-2016",106.91,627.9,43.85,96.52,162.1,65.84,33.78,55.72,67.53,137.9361,38.23,51.35
"20-04-2016",107.13,632.99,43.97,96.33,162.76,63.7,34.025,56.12,66.92,137.594,38.87,51.27
"21-04-2016",105.97,631,43.88,96.37,164.35,62.26,33.7,55.52,65.45,137.1225,38.35,51.36
"22-04-2016",105.68,620.5,44.08,94.79,163.19,62.74,33.96,56.19,65.74,136.9376,39.62,51.13
"25-04-2016",105.08,626.2,44.01,95.8,163.46,62.81,33.935,55.95,65.61,136.7897,39.26,51.09
"26-04-2016",104.35,616.88,43.88,96.15,162.85,62.9,34,56.55,65.87,136.3552,39.73,52.66
"27-04-2016",97.82,606.57,43.83,95.64,161,63.93,34.66,56.63,65.51,137.1133,39.91,54.85
"28-04-2016",94.83,602,40.42,93.64,160.56,63.06,34.505,55.83,64.95,137.3259,40.07,52.41
"29-04-2016",93.74,659.59,38.9,94.22,158.3,63.5,34.485,55.82,65.05,134.876,39.94,50.99
"02-05-2016",93.64,683.85,38.85,94.9,158.99,64.36,34.565,56.59,65.36,134.8575,40.26,50.94
"03-05-2016",95.18,671.32,38.55,93.66,156.35,64.5,34.485,55.94,65.41,132.3336,39.1,49.91
"04-05-2016",94.19,670.9,38.1,92.94,154.18,65.39,34.215,54.85,65.28,132.0655,38.72,49.54
"05-05-2016",93.24,659.09,38.5,93.5,154.25,65.15,34.33,54.81,67.87,132.4353,38.08,49.51
"06-05-2016",92.72,673.95,37.97,94.3,153.19,64.56,34.425,55.04,67.1,133.6556,38.2,49.94
"09-05-2016",92.79,679.75,37.98,94.61,155.41,65.29,34.32,55.25,67.21,131.8436,37.73,50.15
"10-05-2016",93.42,703.07,38.1,96.52,157.24,65.05,34.59,56.35,67.98,133.4245,38.4,51.97
"11-05-2016",92.51,713.23,38.01,96.1,154.18,65.21,34.38,55.96,67.35,131.6679,37.96,50.72
"12-05-2016",90.34,717.93,38,95.96,152.9,65.66,34.62,56.29,67.54,132.5185,38.54,51.12
"13-05-2016",90.52,709.92,37.6,95.97,152.35,65.61,34.435,55.66,67.38,131.1225,37.63,50.49
"16-05-2016",93.88,710.66,38.25,97.23,153.27,65.93,34.51,55.28,67.55,132.7126,37.65,51.36
"17-05-2016",93.49,695.27,37.71,95.93,150.11,64.51,34.22,55.4,67.1,132.0932,37.49,50.965
"18-05-2016",94.56,697.45,37.75,96.7,150.83,63.3,34.5,56.71,67.36,131.0023,37.51,50.97
"19-05-2016",94.2,698.52,37.24,95.88,148.67,63.85,34.3,56.36,66.84,131.0023,38.37,50.68
"20-05-2016",95.22,702.8,37.6,96.88,150.18,63.8,34.365,56.97,67.15,130.7619,39.83,51.73
"23-05-2016",96.43,696.75,37.37,96.62,149.3,62.95,34.25,56.9,66.88,130.9746,40.44,51.29
